ApplicationNumber,Graduate,Residence,MaritalStatus
11272,Yes,Urban,Married
11273,No,Semi Urban,Single
11274,No,Rural,Married
11275,Yes,Urban,Married
11276,No,Urban,Married
11277,No,Urban,Married
11278,No,Semi Urban,Single
11279,No,Urban,Married
11280,No,Urban,Married
11281,Yes,Rural,Single
11282,No,Urban,Married
11283,Yes,Urban,Married
11284,No,Rural,Single
11285,Yes,Semi Urban,Married
11286,Yes,Semi Urban,Married
11287,No,Urban,Married
11288,No,Rural,Single
11289,No,Rural,Married
11290,No,Rural,Married
11291,No,Urban,Married
11292,No,Semi Urban,Married
11293,No,Urban,Married
11294,No,Rural,Single
11295,Yes,Urban,Married
11296,No,Rural,Married
11297,Yes,Urban,Married
11298,No,Urban,Married
11299,No,Semi Urban,Married
11300,No,Urban,Single
11301,No,Urban,Married
11302,No,Rural,Single
11303,No,Rural,Married
11304,No,Rural,Married
11305,No,Urban,Married
11306,No,Rural,Married
11307,No,Urban,Married
11308,No,Urban,Married
11309,Yes,Rural,Married
11310,No,Urban,Married
11311,No,Rural,Married
11312,No,Rural,Married
11313,Yes,Urban,Single
11314,No,Rural,Married
11315,Yes,Urban,Married
11316,No,Rural,Married
11317,No,Rural,Single
11318,Yes,Rural,Married
11319,No,Rural,Married
11320,Yes,Semi Urban,Married
11321,Yes,Semi Urban,Married
11322,No,Semi Urban,Married
11323,No,Semi Urban,Married
11324,Yes,Rural,Married
11325,No,Rural,Married
11326,No,Urban,Single
11327,Yes,Rural,Married
11328,No,Rural,Married
11329,No,Semi Urban,Married
11330,No,Rural,Married
11331,No,Rural,Single
11332,No,Rural,Single
11333,Yes,Urban,Married
11334,No,Rural,Married
11335,No,Urban,Married
11336,No,Urban,Married
11337,No,Rural,Married
11338,No,Rural,Married
11339,Yes,Rural,Married
11340,Yes,Urban,Married
11341,No,Urban,Married
11342,No,Rural,Married
11343,No,Rural,Married
11344,No,Semi Urban,Married
11345,No,Urban,Married
11346,No,Rural,Married
11347,No,Urban,Single
11348,No,Semi Urban,Married
11349,Yes,Rural,Married
11350,Yes,Urban,Single
11351,No,Rural,Single
11352,No,Rural,Married
11353,No,Urban,Single
11354,No,Semi Urban,Single
11355,No,Semi Urban,Single
11356,No,Semi Urban,Single
11357,No,Urban,Married
11358,No,Rural,Single
11359,No,Urban,Single
11360,No,Urban,Single
11361,No,Urban,Married
11362,Yes,Urban,Married
11363,No,Urban,Married
11364,No,Rural,Married
11365,No,Rural,Married
11366,No,Rural,Married
11367,No,Semi Urban,Married
11368,Yes,Urban,Single
11369,No,Urban,Married
11370,No,Rural,Married
11371,No,Semi Urban,Married
11372,Yes,Semi Urban,Married
11373,No,Urban,Married
11374,No,Semi Urban,Married
11375,No,Rural,Married
11376,No,Semi Urban,Married
11377,No,Semi Urban,Married
11378,No,Rural,Married
11379,No,Semi Urban,Married
11380,Yes,Rural,Married
11381,No,Rural,Married
11382,No,Rural,Married
11383,Yes,Rural,Single
11384,No,Urban,Married
11385,No,Urban,Single
11386,Yes,Urban,Married
11387,No,Urban,Single
11388,No,Rural,Married
11389,No,Semi Urban,Married
11390,No,Rural,Married
11391,No,Rural,Married
11392,Yes,Rural,Single
11393,No,Rural,Married
11394,No,Semi Urban,Married
11395,No,Rural,Married
11396,Yes,Semi Urban,Single
11397,No,Rural,Single
11398,No,Urban,Married
11399,No,Urban,Single
11400,No,Rural,Married
11401,No,Urban,Married
11402,No,Semi Urban,Married
11403,No,Urban,Married
11404,No,Semi Urban,Married
11405,No,Semi Urban,Married
11406,No,Urban,Married
11407,Yes,Semi Urban,Married
11408,No,Urban,Married
11409,Yes,Rural,Married
11410,No,Rural,Single
11411,No,Rural,Married
11412,No,Urban,Married
11413,Yes,Rural,Single
11414,Yes,Rural,Married
11415,Yes,Semi Urban,Married
11416,No,Urban,Married
11417,No,Rural,Married
11418,No,Urban,Married
11419,No,Urban,Married
11420,No,Semi Urban,Single
11421,No,Urban,Married
11422,No,Urban,Single
11423,No,Semi Urban,Married
11424,No,Rural,Married
11425,No,Rural,Married
11426,No,Semi Urban,Married
11427,No,Urban,Single
11428,No,Urban,Married
11429,No,Urban,Married
11430,No,Semi Urban,Married
11431,No,Urban,Single
11432,Yes,Rural,Married
11433,No,Semi Urban,Married
11434,No,Urban,Married
11435,Yes,Rural,Married
11436,No,Urban,Married
11437,Yes,Semi Urban,Married
11438,No,Semi Urban,Married
11439,No,Urban,Married
11440,No,Urban,Married
11441,No,Semi Urban,Married
11442,Yes,Urban,Married
11443,No,Rural,Married
11444,No,Rural,Single
11445,No,Urban,Married
11446,No,Rural,Single
11447,Yes,Urban,Single
11448,Yes,Semi Urban,Married
11449,No,Semi Urban,Married
11450,No,Urban,Married
11451,No,Rural,Married
11452,No,Urban,Married
11453,No,Urban,Married
11454,No,Urban,Married
11455,No,Rural,Married
11456,No,Urban,Married
11457,No,Urban,Single
11458,No,Semi Urban,Married
11459,Yes,Rural,Single
11460,No,Semi Urban,Married
11461,Yes,Urban,Married
11462,No,Urban,Married
11463,Yes,Semi Urban,Married
11464,No,Urban,Married
11465,No,Urban,Single
11466,No,Semi Urban,Single
11467,Yes,Urban,Single
11468,No,Urban,Married
11469,No,Urban,Married
11470,No,Semi Urban,Married
11471,No,Urban,Single
11472,Yes,Urban,Married
11473,No,Rural,Single
11474,No,Urban,Married
11475,No,Urban,Married
11476,No,Rural,Single
11477,No,Urban,Single
11478,No,Semi Urban,Married
11479,No,Rural,Married
11480,No,Rural,Married
11481,No,Urban,Single
11482,No,Rural,Married
11483,No,Rural,Married
11484,No,Rural,Married
11485,No,Semi Urban,Married
11486,Yes,Rural,Married
11487,No,Rural,Single
11488,Yes,Urban,Married
11489,No,Rural,Single
11490,No,Urban,Married
11491,No,Urban,Married
11492,No,Rural,Married
11493,No,Rural,Married
11494,No,Semi Urban,Married
11495,Yes,Rural,Married
11496,No,Urban,Married
11497,No,Rural,Married
11498,No,Rural,Married
11499,No,Rural,Married
11500,No,Urban,Married
11501,No,Urban,Married
11502,No,Rural,Married
11503,No,Semi Urban,Married
11504,Yes,Rural,Single
11505,No,Urban,Married
11506,No,Rural,Married
11507,Yes,Rural,Married
11508,No,Semi Urban,Single
11509,Yes,Urban,Married
11510,No,Urban,Married
11511,No,Urban,Married
11512,No,Rural,Married
11513,No,Urban,Married
11514,No,Urban,Married
11515,Yes,Semi Urban,Married
11516,No,Rural,Single
11517,No,Semi Urban,Married
11518,Yes,Rural,Married
11519,No,Urban,Married
11520,No,Semi Urban,Married
11521,No,Urban,Married
11522,No,Semi Urban,Married
11523,No,Semi Urban,Married
11524,No,Urban,Single
11525,Yes,Urban,Married
11526,No,Urban,Married
11527,No,Urban,Married
11528,Yes,Semi Urban,Married
11529,No,Urban,Married
11530,No,Semi Urban,Married
11531,No,Rural,Married
11532,No,Semi Urban,Married
11533,No,Rural,Married
11534,No,Urban,Married
11535,No,Rural,Married
11536,Yes,Urban,Married
11537,No,Rural,Married
11538,No,Rural,Married
11539,Yes,Rural,Married
11540,No,Semi Urban,Married
11541,No,Rural,Single
11542,Yes,Semi Urban,Single
11543,No,Rural,Married
11544,No,Urban,Married
11545,Yes,Urban,Married
11546,No,Urban,Married
11547,No,Semi Urban,Married
11548,Yes,Urban,Single
11549,No,Urban,Married
11550,No,Rural,Married
11551,No,Rural,Married
11552,No,Urban,Married
11553,Yes,Urban,Married
11554,No,Urban,Married
11555,No,Urban,Married
11556,Yes,Rural,Single
11557,No,Rural,Married
11558,Yes,Urban,Married
11559,No,Semi Urban,Single
11560,No,Rural,Single
11561,No,Rural,Married
11562,Yes,Rural,Married
11563,No,Rural,Married
11564,No,Urban,Married
11565,No,Urban,Married
11566,No,Rural,Married
11567,Yes,Rural,Married
11568,No,Semi Urban,Married
11569,No,Semi Urban,Married
11570,Yes,Rural,Married
11571,No,Rural,Single
11572,Yes,Semi Urban,Single
11573,Yes,Semi Urban,Married
11574,No,Urban,Single
11575,No,Urban,Married
11576,No,Rural,Married
11577,No,Urban,Single
11578,Yes,Rural,Single
11579,Yes,Semi Urban,Married
11580,Yes,Rural,Married
11581,No,Urban,Married
11582,No,Rural,Married
11583,No,Urban,Single
11584,Yes,Urban,Married
11585,No,Rural,Married
11586,Yes,Rural,Married
11587,No,Urban,Single
11588,No,Urban,Married
11589,No,Urban,Single
11590,Yes,Urban,Single
11591,Yes,Rural,Married
11592,Yes,Rural,Married
11593,No,Rural,Single
11594,No,Rural,Married
11595,No,Rural,Married
11596,No,Urban,Married
11597,No,Rural,Married
11598,No,Rural,Single
11599,No,Rural,Married
11600,No,Urban,Married
11601,Yes,Semi Urban,Married
11602,No,Urban,Married
11603,No,Urban,Single
11604,Yes,Urban,Married
11605,No,Semi Urban,Married
11606,No,Rural,Married
11607,No,Semi Urban,Married
11608,No,Urban,Single
11609,No,Rural,Single
11610,No,Rural,Married
11611,No,Urban,Married
11612,No,Rural,Married
11613,No,Rural,Married
11614,No,Rural,Single
11615,No,Rural,Single
11616,No,Rural,Married
11617,No,Rural,Single
11618,Yes,Rural,Married
11619,No,Urban,Married
11620,No,Semi Urban,Married
11621,No,Urban,Single
11622,Yes,Rural,Married
11623,No,Urban,Married
11624,No,Rural,Married
11625,No,Urban,Single
11626,No,Urban,Married
11627,Yes,Rural,Married
11628,No,Semi Urban,Married
11629,No,Rural,Married
11630,No,Semi Urban,Married
11631,No,Semi Urban,Married
11632,No,Rural,Married
11633,No,Urban,Married
11634,No,Urban,Single
11635,No,Urban,Single
11636,No,Semi Urban,Single
11637,No,Semi Urban,Married
11638,No,Urban,Single
11639,No,Semi Urban,Married
11640,No,Rural,Married
11641,Yes,Urban,Married
11642,No,Urban,Married
11643,No,Urban,Married
11644,Yes,Rural,Single
11645,No,Rural,Single
11646,No,Semi Urban,Married
11647,No,Semi Urban,Married
11648,No,Urban,Married
11649,Yes,Urban,Single
11650,No,Urban,Married
11651,No,Rural,Married
11652,No,Semi Urban,Single
11653,No,Urban,Single
11654,No,Urban,Married
11655,Yes,Urban,Married
11656,No,Rural,Married
11657,No,Rural,Single
11658,Yes,Rural,Married
11659,No,Urban,Married
11660,Yes,Rural,Married
11661,No,Rural,Married
11662,No,Rural,Married
11663,No,Urban,Married
11664,No,Urban,Married
11665,No,Urban,Single
11666,Yes,Semi Urban,Married
11667,No,Urban,Married
11668,No,Rural,Single
11669,Yes,Urban,Married
11670,No,Rural,Single
11671,No,Urban,Married
11672,Yes,Urban,Married
11673,Yes,Urban,Married
11674,No,Rural,Married
11675,No,Rural,Single
11676,No,Rural,Married
11677,No,Rural,Single
11678,Yes,Rural,Married
11679,No,Rural,Married
11680,No,Rural,Married
11681,No,Urban,Single
11682,No,Semi Urban,Married
11683,No,Rural,Married
11684,No,Semi Urban,Married
11685,No,Semi Urban,Married
11686,No,Urban,Single
11687,No,Semi Urban,Married
11688,Yes,Urban,Single
11689,No,Rural,Married
11690,No,Semi Urban,Married
11691,No,Semi Urban,Single
11692,No,Rural,Married
11693,No,Urban,Married
11694,No,Urban,Married
11695,No,Rural,Married
11696,No,Urban,Married
11697,Yes,Urban,Married
11698,Yes,Urban,Married
11699,No,Rural,Married
11700,No,Rural,Single
11701,Yes,Rural,Married
11702,No,Urban,Married
11703,No,Rural,Married
11704,No,Urban,Married
11705,Yes,Rural,Married
11706,No,Urban,Married
11707,No,Rural,Single
11708,No,Urban,Single
11709,No,Rural,Married
11710,No,Urban,Married
11711,No,Semi Urban,Married
11712,No,Rural,Single
11713,No,Urban,Single
11714,Yes,Urban,Married
11715,No,Semi Urban,Married
11716,No,Rural,Married
11717,No,Rural,Married
11718,No,Rural,Married
11719,No,Rural,Married
11720,No,Urban,Married
11721,Yes,Urban,Single
11722,No,Urban,Single
11723,No,Urban,Single
11724,No,Urban,Married
11725,No,Urban,Married
11726,No,Urban,Married
11727,No,Rural,Single
11728,No,Rural,Married
11729,No,Rural,Married
11730,No,Urban,Married
11731,No,Rural,Single
11732,Yes,Urban,Married
11733,No,Urban,Married
11734,No,Rural,Single
11735,No,Rural,Married
11736,No,Urban,Married
11737,No,Urban,Single
11738,Yes,Urban,Married
11739,No,Rural,Married
11740,No,Urban,Married
11741,No,Rural,Single
11742,No,Rural,Married
11743,No,Rural,Married
11744,No,Urban,Married
11745,No,Rural,Married
11746,No,Semi Urban,Married
11747,No,Urban,Married
11748,Yes,Rural,Single
11749,No,Urban,Married
11750,Yes,Rural,Married
11751,No,Semi Urban,Single
11752,No,Urban,Single
11753,No,Semi Urban,Married
11754,No,Semi Urban,Married
11755,No,Urban,Married
11756,No,Rural,Single
11757,No,Urban,Married
11758,No,Rural,Single
11759,Yes,Semi Urban,Married
11760,No,Rural,Single
11761,No,Rural,Married
11762,Yes,Urban,Married
11763,No,Semi Urban,Single
11764,No,Semi Urban,Single
11765,No,Semi Urban,Single
11766,No,Rural,Single
11767,No,Semi Urban,Single
11768,No,Urban,Married
11769,No,Semi Urban,Married
11770,No,Urban,Married
11771,Yes,Urban,Married
11772,No,Rural,Married
11773,No,Urban,Married
11774,No,Semi Urban,Single
11775,No,Urban,Married
11776,No,Urban,Married
11777,No,Urban,Married
11778,No,Rural,Married
11779,No,Rural,Married
11780,No,Urban,Married
11781,No,Semi Urban,Married
11782,No,Rural,Married
11783,No,Rural,Married
11784,No,Semi Urban,Married
11785,No,Urban,Married
11786,No,Urban,Married
11787,No,Urban,Married
11788,No,Semi Urban,Single
11789,No,Semi Urban,Married
11790,Yes,Semi Urban,Married
11791,No,Semi Urban,Married
11792,No,Rural,Married
11793,No,Rural,Single
11794,Yes,Rural,Married
11795,No,Semi Urban,Married
11796,No,Rural,Married
11797,No,Rural,Married
11798,No,Urban,Single
11799,No,Rural,Married
11800,No,Urban,Single
11801,No,Semi Urban,Married
11802,No,Urban,Married
11803,No,Rural,Single
11804,No,Rural,Married
11805,Yes,Urban,Married
11806,No,Urban,Married
11807,No,Semi Urban,Married
11808,No,Urban,Married
11809,No,Rural,Single
11810,No,Semi Urban,Married
11811,No,Rural,Married
11812,No,Urban,Married
11813,No,Urban,Married
11814,Yes,Rural,Married
11815,No,Semi Urban,Married
11816,No,Rural,Married
11817,No,Urban,Single
11818,No,Semi Urban,Married
11819,No,Rural,Married
11820,No,Semi Urban,Married
11821,No,Semi Urban,Single
11822,No,Rural,Married
11823,No,Semi Urban,Married
11824,No,Rural,Married
11825,No,Urban,Single
11826,No,Urban,Single
11827,Yes,Semi Urban,Married
11828,Yes,Urban,Married
11829,No,Rural,Married
11830,No,Rural,Married
11831,No,Semi Urban,Married
11832,No,Rural,Married
11833,Yes,Urban,Married
11834,No,Rural,Single
11835,No,Urban,Married
11836,No,Rural,Married
11837,No,Semi Urban,Married
11838,Yes,Semi Urban,Single
11839,Yes,Semi Urban,Married
11840,No,Rural,Married
11841,No,Urban,Single
11842,No,Urban,Married
11843,No,Urban,Married
11844,Yes,Semi Urban,Single
11845,Yes,Rural,Married
11846,No,Rural,Married
11847,No,Urban,Single
11848,No,Rural,Single
11849,Yes,Rural,Married
11850,No,Semi Urban,Single
11851,No,Rural,Single
11852,Yes,Semi Urban,Married
11853,No,Urban,Single
11854,No,Rural,Married
11855,No,Semi Urban,Single
11856,No,Urban,Married
11857,No,Urban,Married
11858,No,Rural,Single
11859,No,Semi Urban,Married
11860,Yes,Semi Urban,Single
11861,No,Urban,Married
11862,No,Rural,Married
11863,No,Rural,Single
11864,No,Urban,Married
11865,No,Urban,Married
11866,No,Rural,Married
11867,No,Rural,Married
11868,No,Urban,Married
11869,No,Rural,Married
11870,No,Urban,Married
11871,No,Urban,Married
11872,Yes,Semi Urban,Married
11873,No,Rural,Married
11874,No,Urban,Married
11875,No,Rural,Married
11876,No,Rural,Married
11877,Yes,Rural,Married
11878,No,Semi Urban,Married
11879,No,Rural,Married
11880,No,Rural,Married
11881,No,Rural,Married
11882,No,Urban,Single
11883,No,Semi Urban,Married
11884,No,Rural,Married
11885,Yes,Rural,Married
11886,No,Urban,Single
11887,No,Rural,Married
11888,No,Semi Urban,Married
11889,No,Rural,Married
11890,No,Urban,Single
11891,Yes,Rural,Married
11892,No,Rural,Married
11893,No,Semi Urban,Married
11894,No,Urban,Married
11895,Yes,Rural,Married
11896,No,Urban,Married
11897,No,Rural,Married
11898,No,Urban,Single
11899,No,Urban,Single
11900,No,Urban,Married
11901,No,Rural,Single
11902,Yes,Urban,Married
11903,Yes,Urban,Married
11904,No,Urban,Single
11905,No,Semi Urban,Single
11906,No,Rural,Single
11907,No,Rural,Single
11908,No,Semi Urban,Single
11909,No,Semi Urban,Single
11910,No,Rural,Married
11911,Yes,Rural,Married
11912,No,Urban,Married
11913,Yes,Urban,Single
11914,Yes,Urban,Married
11915,No,Urban,Single
11916,No,Urban,Single
11917,Yes,Urban,Married
11918,No,Semi Urban,Married
11919,No,Urban,Married
11920,No,Semi Urban,Married
11921,No,Urban,Married
11922,Yes,Rural,Married
11923,Yes,Urban,Married
11924,No,Urban,Single
11925,Yes,Urban,Married
11926,No,Urban,Married
11927,No,Rural,Married
11928,No,Urban,Married
11929,No,Semi Urban,Married
11930,Yes,Rural,Married
11931,No,Semi Urban,Married
11932,No,Urban,Single
11933,Yes,Rural,Married
11934,Yes,Rural,Single
11935,No,Urban,Married
11936,Yes,Rural,Married
11937,Yes,Rural,Married
11938,Yes,Rural,Married
11939,No,Semi Urban,Married
11940,Yes,Semi Urban,Married
11941,Yes,Urban,Single
11942,No,Urban,Married
11943,No,Semi Urban,Married
11944,No,Urban,Single
11945,No,Urban,Married
11946,No,Semi Urban,Married
11947,Yes,Semi Urban,Married
11948,Yes,Rural,Single
11949,No,Semi Urban,Married
11950,No,Urban,Single
11951,No,Urban,Married
11952,No,Urban,Married
11953,Yes,Urban,Married
11954,Yes,Semi Urban,Married
11955,No,Rural,Married
11956,No,Rural,Married
11957,No,Urban,Married
11958,No,Rural,Married
11959,No,Semi Urban,Married
11960,No,Urban,Married
11961,No,Rural,Married
11962,No,Rural,Single
11963,Yes,Rural,Single
11964,Yes,Urban,Married
11965,No,Rural,Single
11966,No,Rural,Married
11967,No,Semi Urban,Single
11968,Yes,Rural,Married
11969,Yes,Rural,Married
11970,No,Urban,Married
11971,No,Semi Urban,Single
11972,No,Urban,Married
11973,No,Semi Urban,Married
11974,Yes,Urban,Single
11975,Yes,Rural,Married
11976,No,Urban,Married
11977,No,Rural,Married
11978,Yes,Semi Urban,Married
11979,No,Semi Urban,Married
11980,No,Urban,Married
11981,Yes,Urban,Married
11982,Yes,Rural,Married
11983,No,Rural,Married
11984,No,Rural,Married
11985,No,Urban,Married
11986,No,Urban,Married
11987,No,Semi Urban,Married
11988,No,Rural,Married
11989,No,Urban,Married
11990,Yes,Urban,Married
11991,No,Rural,Married
11992,No,Urban,Married
11993,No,Rural,Single
11994,No,Urban,Married
11995,No,Semi Urban,Single
11996,No,Rural,Married
11997,No,Urban,Married
11998,No,Rural,Single
11999,No,Semi Urban,Married
12000,No,Rural,Married
12001,No,Rural,Married
12002,No,Urban,Single
12003,No,Urban,Married
12004,Yes,Semi Urban,Married
12005,No,Urban,Married
12006,No,Rural,Married
12007,Yes,Urban,Married
12008,No,Urban,Married
12009,Yes,Semi Urban,Single
12010,No,Urban,Married
12011,Yes,Semi Urban,Single
12012,No,Urban,Married
12013,Yes,Semi Urban,Married
12014,Yes,Semi Urban,Single
12015,Yes,Rural,Married
12016,No,Semi Urban,Married
12017,No,Urban,Single
12018,No,Rural,Married
12019,Yes,Urban,Married
12020,No,Rural,Married
12021,No,Semi Urban,Married
12022,No,Semi Urban,Married
12023,No,Semi Urban,Married
12024,No,Semi Urban,Single
12025,No,Rural,Single
12026,No,Rural,Married
12027,No,Urban,Married
12028,No,Semi Urban,Married
12029,No,Urban,Married
12030,No,Urban,Married
12031,No,Rural,Married
12032,No,Urban,Married
12033,No,Urban,Married
12034,Yes,Rural,Married
12035,No,Rural,Married
12036,No,Urban,Married
12037,No,Rural,Married
12038,No,Rural,Married
12039,No,Rural,Married
12040,No,Urban,Married
12041,No,Rural,Married
12042,Yes,Semi Urban,Married
12043,No,Semi Urban,Married
12044,No,Semi Urban,Single
12045,No,Semi Urban,Married
12046,No,Urban,Married
12047,No,Urban,Single
12048,No,Semi Urban,Married
12049,Yes,Rural,Single
12050,No,Semi Urban,Married
12051,No,Rural,Married
12052,No,Urban,Married
12053,No,Urban,Married
12054,No,Semi Urban,Married
12055,No,Semi Urban,Married
12056,No,Urban,Married
12057,No,Semi Urban,Married
12058,Yes,Semi Urban,Single
12059,Yes,Urban,Single
12060,No,Rural,Married
12061,No,Urban,Single
12062,No,Urban,Married
12063,No,Rural,Single
12064,No,Rural,Married
12065,No,Rural,Married
12066,Yes,Semi Urban,Married
12067,No,Semi Urban,Single
12068,Yes,Semi Urban,Single
12069,No,Urban,Married
12070,No,Rural,Married
12071,No,Urban,Married
12072,No,Urban,Single
12073,No,Semi Urban,Married
12074,No,Rural,Single
12075,No,Semi Urban,Single
12076,Yes,Urban,Single
12077,No,Rural,Married
12078,Yes,Urban,Married
12079,No,Urban,Single
12080,No,Rural,Married
12081,No,Rural,Married
12082,Yes,Urban,Married
12083,No,Rural,Married
12084,No,Semi Urban,Married
12085,No,Rural,Married
12086,No,Urban,Single
12087,No,Rural,Married
12088,No,Semi Urban,Married
12089,No,Semi Urban,Married
12090,Yes,Urban,Married
12091,Yes,Urban,Single
12092,Yes,Urban,Married
12093,No,Semi Urban,Married
12094,No,Urban,Married
12095,Yes,Rural,Married
12096,No,Urban,Married
12097,No,Rural,Single
12098,No,Urban,Married
12099,No,Rural,Married
12100,Yes,Rural,Single
12101,No,Semi Urban,Married
12102,No,Urban,Single
12103,Yes,Rural,Married
12104,No,Urban,Married
12105,No,Urban,Married
12106,Yes,Urban,Married
12107,No,Semi Urban,Married
12108,Yes,Urban,Married
12109,Yes,Semi Urban,Married
12110,No,Urban,Single
12111,Yes,Rural,Married
12112,No,Semi Urban,Married
12113,No,Urban,Married
12114,No,Semi Urban,Single
12115,No,Semi Urban,Married
12116,No,Urban,Single
12117,No,Rural,Married
12118,No,Semi Urban,Married
12119,No,Rural,Single
12120,No,Urban,Single
12121,No,Semi Urban,Single
12122,No,Urban,Married
12123,Yes,Semi Urban,Married
12124,Yes,Rural,Married
12125,No,Rural,Married
12126,No,Urban,Single
12127,No,Rural,Married
12128,No,Rural,Married
12129,No,Semi Urban,Married
12130,No,Rural,Married
12131,No,Urban,Married
12132,No,Rural,Single
12133,No,Rural,Married
12134,Yes,Semi Urban,Married
12135,No,Rural,Married
12136,No,Urban,Married
12137,No,Semi Urban,Single
12138,Yes,Urban,Married
12139,Yes,Semi Urban,Married
12140,No,Semi Urban,Married
12141,No,Urban,Married
12142,No,Rural,Married
12143,No,Rural,Married
12144,No,Rural,Married
12145,No,Rural,Married
12146,No,Urban,Married
12147,No,Urban,Single
12148,Yes,Urban,Married
12149,Yes,Rural,Married
12150,No,Semi Urban,Married
12151,No,Urban,Married
12152,No,Rural,Married
12153,No,Urban,Single
12154,Yes,Semi Urban,Single
12155,No,Rural,Married
12156,No,Urban,Married
12157,Yes,Rural,Single
12158,No,Urban,Married
12159,No,Urban,Single
12160,No,Semi Urban,Married
12161,Yes,Rural,Married
12162,No,Semi Urban,Married
12163,No,Rural,Single
12164,No,Urban,Single
12165,Yes,Urban,Married
12166,No,Rural,Married
12167,No,Urban,Married
12168,No,Urban,Married
12169,No,Rural,Married
12170,No,Rural,Single
12171,No,Rural,Single
12172,No,Urban,Married
12173,No,Rural,Married
12174,Yes,Urban,Married
12175,No,Urban,Married
12176,No,Semi Urban,Married
12177,No,Rural,Married
12178,No,Rural,Single
12179,No,Rural,Married
12180,No,Urban,Married
12181,Yes,Urban,Single
12182,No,Urban,Single
12183,No,Urban,Married
12184,Yes,Urban,Married
12185,No,Urban,Married
12186,No,Rural,Single
12187,No,Urban,Married
12188,No,Semi Urban,Married
12189,No,Semi Urban,Married
12190,No,Rural,Married
12191,No,Urban,Single
12192,No,Rural,Single
12193,No,Rural,Married
12194,No,Urban,Married
12195,No,Urban,Married
12196,No,Urban,Single
12197,No,Rural,Married
12198,No,Urban,Married
12199,No,Rural,Married
12200,No,Rural,Married
12201,No,Urban,Married
12202,No,Rural,Single
12203,No,Semi Urban,Married
12204,No,Urban,Single
12205,No,Urban,Married
12206,Yes,Urban,Married
12207,No,Urban,Married
12208,Yes,Rural,Married
12209,No,Semi Urban,Married
12210,No,Urban,Single
12211,No,Rural,Married
12212,No,Urban,Married
12213,No,Rural,Single
12214,No,Urban,Married
12215,No,Rural,Married
12216,No,Rural,Single
12217,Yes,Rural,Married
12218,Yes,Semi Urban,Married
12219,No,Rural,Married
12220,No,Semi Urban,Married
12221,No,Urban,Married
12222,No,Rural,Single
12223,No,Rural,Single
12224,Yes,Urban,Married
12225,No,Urban,Single
12226,No,Urban,Married
12227,No,Rural,Married
12228,No,Urban,Married
12229,No,Rural,Married
12230,No,Urban,Single
12231,Yes,Semi Urban,Married
12232,No,Rural,Married
12233,No,Urban,Single
12234,No,Urban,Single
12235,No,Rural,Married
12236,No,Rural,Married
12237,No,Rural,Single
12238,Yes,Semi Urban,Married
12239,No,Urban,Single
12240,No,Rural,Single
12241,No,Urban,Single
12242,No,Urban,Married
12243,No,Rural,Married
12244,No,Urban,Married
12245,No,Urban,Married
12246,No,Urban,Married
12247,Yes,Semi Urban,Married
12248,Yes,Semi Urban,Married
12249,No,Rural,Married
12250,Yes,Rural,Married
12251,Yes,Semi Urban,Married
12252,No,Urban,Single
12253,No,Urban,Married
12254,No,Urban,Married
12255,Yes,Rural,Single
12256,Yes,Rural,Single
12257,No,Rural,Single
12258,No,Urban,Married
12259,No,Rural,Married
12260,No,Rural,Single
12261,No,Urban,Single
12262,No,Semi Urban,Married
12263,No,Urban,Single
12264,No,Rural,Married
12265,No,Semi Urban,Married
12266,No,Rural,Married
12267,No,Rural,Married
12268,No,Rural,Married
12269,Yes,Rural,Married
12270,No,Urban,Single
12271,No,Semi Urban,Married
12272,No,Urban,Single
12273,No,Semi Urban,Married
12274,No,Rural,Single
12275,No,Urban,Single
12276,No,Rural,Married
12277,No,Rural,Married
12278,No,Urban,Married
12279,No,Rural,Married
12280,No,Rural,Single
12281,No,Rural,Married
12282,No,Semi Urban,Single
12283,No,Rural,Married
12284,No,Rural,Married
12285,No,Urban,Single
12286,No,Rural,Married
12287,No,Rural,Married
12288,Yes,Urban,Single
12289,Yes,Rural,Single
12290,No,Semi Urban,Married
12291,No,Urban,Married
12292,No,Semi Urban,Married
12293,No,Rural,Married
12294,No,Urban,Married
12295,No,Urban,Married
12296,Yes,Semi Urban,Married
12297,No,Rural,Single
12298,Yes,Rural,Single
12299,Yes,Urban,Married
12300,No,Rural,Single
12301,No,Urban,Single
12302,No,Rural,Married
12303,No,Urban,Married
12304,No,Rural,Single
12305,Yes,Urban,Married
12306,No,Urban,Married
12307,No,Rural,Married
12308,Yes,Rural,Single
12309,No,Rural,Single
12310,No,Rural,Married
12311,Yes,Semi Urban,Married
12312,No,Urban,Married
12313,No,Rural,Single
12314,No,Rural,Single
12315,Yes,Urban,Single
12316,Yes,Rural,Married
12317,Yes,Rural,Single
12318,No,Urban,Married
12319,Yes,Rural,Single
12320,No,Rural,Married
12321,Yes,Rural,Married
12322,Yes,Semi Urban,Married
12323,No,Urban,Married
12324,No,Rural,Single
12325,No,Urban,Married
12326,No,Rural,Married
12327,No,Rural,Single
12328,No,Rural,Married
12329,No,Rural,Married
12330,Yes,Urban,Married
12331,No,Urban,Married
12332,No,Rural,Married
12333,No,Urban,Married
12334,Yes,Urban,Married
12335,No,Rural,Married
12336,No,Urban,Married
12337,No,Urban,Single
12338,No,Semi Urban,Single
12339,No,Rural,Married
12340,No,Semi Urban,Single
